il,ilce,AKP,CHP,MHP,HDP,OTHERS,AKPV,CHPV,MHPV,HDPV,OTHERSV,kod
Antalya,Kepez,0.3764,0.2636,0.2055,0.1263,0.029800000000000007,104134.0,72941.0,56871.0,34945.0,8271.0,7
Antalya,Konyaaltı,0.2359,0.4832,0.1728,0.07769999999999999,0.033800000000000004,20206.0,41392.0,14803.0,6653.0,2898.0,7
Antalya,Korkuteli,0.4517,0.2424,0.2184,0.0181,0.07210000000000001,15552.0,8344.0,7518.0,623.0,2480.0,7
Antalya,Kumluca,0.3954,0.2743,0.254,0.046,0.0324,16418.0,11389.0,10548.0,1910.0,1340.0,7
Antalya,Manavgat,0.3607,0.32409999999999994,0.2427,0.044500000000000005,0.0286,44745.0,40199.0,30100.0,5515.0,3571.0,7
Antalya,Muratpaşa,0.263,0.4572,0.1752,0.07490000000000001,0.03330000000000001,73521.0,127804.0,48967.0,20944.0,9245.0,7
Antalya,Serik,0.3582,0.3139,0.2708,0.0244,0.035,24881.0,21802.0,18808.0,1695.0,2432.0,7
Ardahan,Ardahan,0.2622,0.222,0.0781,0.3037,0.21700000000000005,14759.0,12494.0,4393.0,17096.0,12222.0,75
Ardahan,Çıldır,0.2828,0.33380000000000004,0.1279,0.034300000000000004,0.3697,1566.0,1848.0,708.0,190.0,2047.0,75
Ardahan,Damal,0.0613,0.7659999999999999,0.0147,0.0833,0.11840000000000002,212.0,2649.0,51.0,288.0,409.0,75
Ardahan,Göle,0.30510000000000004,0.0976,0.026000000000000002,0.4859000000000001,0.1165,4401.0,1408.0,375.0,7009.0,1684.0,75
Ardahan,Hanak,0.2575,0.4077,0.0612,0.0928,0.2947000000000001,1499.0,2373.0,356.0,540.0,1715.0,75
Ardahan,Posof,0.5092,0.1854,0.105,0.0527,0.2266,2279.0,830.0,470.0,236.0,1016.0,75
Artvin,Ardanuç,0.301,0.4421,0.1913,0.0179,0.04780000000000001,2286.0,3358.0,1453.0,136.0,362.0,8
Artvin,Arhavi,0.4297,0.32630000000000003,0.1832,0.0168,0.0442,5586.0,4242.0,2381.0,218.0,572.0,8
Artvin,Artvin,0.38799999999999996,0.3099,0.2294,0.0272,0.0455,41982.0,33528.0,24820.0,2943.0,4918.0,8
Artvin,Borçka,0.4658,0.2148,0.2571,0.0151,0.047300000000000016,6645.0,3064.0,3667.0,215.0,674.0,8
Artvin,Hopa,0.2908,0.3936,0.2125,0.073,0.030200000000000005,6182.0,8366.0,4517.0,1551.0,639.0,8
Artvin,Murgul,0.3139,0.32780000000000004,0.3073,0.0129,0.03820000000000001,1244.0,1299.0,1218.0,51.0,151.0,8
Artvin,Şavşat,0.3507,0.3356,0.2325,0.019,0.0621,4373.0,4185.0,2899.0,237.0,776.0,8
Artvin,Yusufeli,0.5904,0.1258,0.2248,0.0063,0.0524,8290.0,1767.0,3157.0,88.0,739.0,8
Aydın,Bozdoğan,0.3801,0.3670000000000001,0.19399999999999998,0.0087,0.0501,8566.0,8270.0,4371.0,196.0,1132.0,9
Aydın,Buharkent,0.3272,0.3863,0.1945,0.057999999999999996,0.033900000000000007,2713.0,3203.0,1613.0,481.0,281.0,9
